OTU	primary_lifestyle	Genus	Species
Chytridiomycota_sp_12	unknown_primary_lyfestyle	Chytridiomycota_gen_Incertae_sedis	Chytridiomycota_sp_12
Serendipitaceae_sp_12	unknown_primary_lyfestyle	Serendipitaceae_gen_Incertae_sedis	Serendipitaceae_sp_12
Bisifusarium_dimerum_2	litter_saprotroph	Bisifusarium	Bisifusarium_dimerum_2
Tuber_pseudobrumale_12	ectomycorrhizal	Tuber	Tuber_pseudobrumale_12
Ascomycota_sp_78	unknown_primary_lyfestyle	Ascomycota_gen_Incertae_sedis	Ascomycota_sp_78
Idriella_sp_4	litter_saprotroph	Idriella	Idriella_sp_4
Eremiomyces_echinulatus_1	soil_saprotroph	Eremiomyces	Eremiomyces_echinulatus_1
Neocucurbitaria_aetnensis_28	unknown_primary_lyfestyle	Neocucurbitaria	Neocucurbitaria_aetnensis_28
Stachybotrys_subcylindrosporus_1	wood_saprotroph	Stachybotrys	Stachybotrys_subcylindrosporus_1
Bisifusarium_biseptatum_39	litter_saprotroph	Bisifusarium	Bisifusarium_biseptatum_39
Cortinarius_pinisquamulosus_1	ectomycorrhizal	Cortinarius	Cortinarius_pinisquamulosus_1
