OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
Fungi_sp_118	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora_sp_1
GS11_sp_36	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	Leucoagaricus_erminiae_1
Rozellomycota_sp_43	Fungi	Rozellomycota	Rozellomycotina_cls_Incertae_sedis	GS11	GS11_fam_Incertae_sedis	GS11_gen_Incertae_sedis	GS11_sp_7
Cordycipitaceae_sp_2	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_equiseti_5
Zoopagomycota_sp_2	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Phomopsis	Phomopsis_limonii_1
Ceratostomataceae_sp_2	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	Fungi_sp_42
Blastocladiales_sp_2	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	Knufia_mediterranea_1
Trichomeriaceae_sp_7	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	Fungi_sp_43
Rozellomycota_sp_44	Fungi	Ascomycota	Ascomycota_cls_Incertae_sedis	Ascomycota_ord_Incertae_sedis	Ascomycota_fam_Incertae_sedis	Ascomycota_gen_Incertae_sedis	Ascomycota_sp_12
Rozellomycota_sp_45	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	Sordariales_gen_Incertae_sedis	Sordariales_sp_5
Agaricales_sp_6	Fungi	Olpidiomycota	Olpidiomycetes	Olpidiales	Olpidiaceae	Olpidiaceae_gen_Incertae_sedis	Olpidiaceae_sp_1
Fungi_sp_119	Fungi	Ascomycota	Sordariomycetes	Sordariomycetes_ord_Incertae_sedis	Sordariomycetes_fam_Incertae_sedis	Sordariomycetes_gen_Incertae_sedis	Sordariomycetes_sp_6
Rozellomycota_sp_46	Fungi	Ascomycota	Pezizomycetes	Pezizales	Helvellaceae	Helvella	Helvella_bachu_7
Fungi_sp_120	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Dentocorticium	Dentocorticium_sulphurellum_2
Orbiliales_sp_10	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Davidiellomyces	Davidiellomyces_australiensis_4
Sordariomycetes_sp_11	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Trechisporales_fam_Incertae_sedis	Trechisporales_gen_Incertae_sedis	Trechisporales_sp_2
Pezizaceae_sp_7	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	Fungi_sp_44
GS11_sp_37	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae	Melanodiplodia	Melanodiplodia_tianschanica_1
Leucoglossum_leucosporum_1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Helotiales_gen_Incertae_sedis	Helotiales_sp_1
Fungi_sp_121	Fungi	Rozellomycota	Rozellomycota_cls_Incertae_sedis	Rozellomycota_ord_Incertae_sedis	Rozellomycota_fam_Incertae_sedis	Rozellomycota_gen_Incertae_sedis	Rozellomycota_sp_19
Boletaceae_sp_1	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Ustilago	Ustilago_hordei_1
GS11_sp_38	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliales_fam_Incertae_sedis	Orbiliales_gen_Incertae_sedis	Orbiliales_sp_6
Chaetothyriales_sp_12	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Cordyceps	Cordyceps_fumosorosea_6
Neocallimastigomycota_sp_1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Paraboeremia	Paraboeremia_selaginellae_1
Archaeorhizomyces_sp_8	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Juglanconidaceae	Juglanconis	Juglanconis_pterocaryae_1
Fungi_sp_122	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Acrocalymmaceae	Acrocalymma	Acrocalymma_pterocarpi_1
Fungi_sp_123	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	Schizothecium_sp_1
Sordariomycetes_sp_12	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_rishikesha_1
Fungi_sp_124	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Hypocreales_gen_Incertae_sedis	Hypocreales_sp_5
